"gene"	"entrez"	"ensembl"
"MED8"	112950	"ENSG00000159479"
"MED9"	55090	"ENSG00000141026"
"METAP1"	23173	"ENSG00000164024"
"METAP2"	10988	"ENSG00000111142"
"METTL1"	4234	"ENSG00000037897"
"METTL14"	57721	"ENSG00000145388"
"METTL16"	79066	"ENSG00000127804"
"METTL3"	56339	"ENSG00000165819"
"MFAP1"	4236	"ENSG00000140259"
"MFN2"	9927	"ENSG00000116688"
"MIPEP"	4285	"ENSG00000027001"
"MIS18A"	54069	"ENSG00000159055"
"MIS18BP1"	55320	"ENSG00000129534"
"MMS19"	64210	"ENSG00000155229"
"MMS22L"	253714	"ENSG00000146263"
"MNAT1"	4331	"ENSG00000020426"
"MOB4"	25843	"ENSG00000115540"
"MPHOSPH10"	10199	"ENSG00000124383"
"MRPL11"	65003	"ENSG00000174547"
"MRPL12"	6182	"ENSG00000262814"
"MRPL16"	54948	"ENSG00000166902"
"MRPL17"	63875	"ENSG00000158042"
"MRPL18"	29074	"ENSG00000112110"
"MRPL19"	9801	"ENSG00000115364"
"MRPL20"	55052	"ENSG00000242485"
"MRPL21"	219927	"ENSG00000197345"
"MRPL22"	29093	"ENSG00000082515"
"MRPL24"	79590	"ENSG00000143314"
"MRPL27"	51264	"ENSG00000108826"
"MRPL32"	64983	"ENSG00000106591"
"MRPL34"	64981	"ENSG00000130312"
"MRPL35"	51318	"ENSG00000132313"
"MRPL37"	51253	"ENSG00000116221"
"MRPL38"	64978	"ENSG00000204316"
"MRPL39"	54148	"ENSG00000154719"
"MRPL4"	51073	"ENSG00000105364"
"MRPL40"	64976	"ENSG00000185608"
"MRPL42"	28977	"ENSG00000198015"
"MRPL44"	65080	"ENSG00000135900"
"MRPL47"	57129	"ENSG00000136522"
"MRPL48"	51642	"ENSG00000175581"
"MRPL49"	740	"ENSG00000149792"
"MRPL51"	51258	"ENSG00000111639"
"MRPL52"	122704	"ENSG00000172590"
"MRPL9"	65005	"ENSG00000143436"
"MRPS10"	55173	"ENSG00000048544"
"MRPS12"	6183	"ENSG00000128626"
"MRPS14"	63931	"ENSG00000120333"
"MRPS15"	64960	"ENSG00000116898"
"MRPS18A"	55168	"ENSG00000096080"
"MRPS18B"	28973	"ENSG00000204568"
"MRPS18C"	51023	"ENSG00000163319"
"MRPS23"	51649	"ENSG00000181610"
"MRPS24"	64951	"ENSG00000062582"
"MRPS25"	64432	"ENSG00000131368"
"MRPS27"	23107	"ENSG00000113048"
"MRPS30"	10884	"ENSG00000112996"
"MRPS31"	10240	"ENSG00000102738"
"MRPS33"	51650	"ENSG00000090263"
"MRPS35"	60488	"ENSG00000061794"
"MRPS5"	64969	"ENSG00000144029"
"MRPS6"	64968	"ENSG00000243927"
"MRPS7"	51081	"ENSG00000125445"
"MRPS9"	64965	"ENSG00000135972"
"MRTO4"	51154	"ENSG00000053372"
"MTG1"	92170	"ENSG00000148824"
"MTHFD1"	4522	"ENSG00000100714"
"MTOR"	2475	"ENSG00000198793"
"MTPAP"	55149	"ENSG00000107951"
"MVD"	4597	"ENSG00000167508"
"MYBBP1A"	10514	"ENSG00000132382"
"MYBL2"	4605	"ENSG00000101057"
"N6AMT1"	29104	"ENSG00000156239"
"NAA10"	8260	"ENSG00000102030"
"NAA15"	80155	"ENSG00000164134"
"NAA20"	51126	"ENSG00000173418"
"NAA25"	80018	"ENSG00000111300"
"NAA30"	122830	"ENSG00000139977"
"NAA50"	80218	"ENSG00000121579"
"NAE1"	8883	"ENSG00000159593"
"NAF1"	92345	"ENSG00000145414"
"NAPA"	8775	"ENSG00000105402"
"NAPG"	8774	"ENSG00000134265"
"NARS1"	4677	"ENSG00000134440"
"NARS2"	79731	"ENSG00000137513"
"NAT10"	55226	"ENSG00000135372"
